Time (s),Channel 1 (V)
-0.006010266,0
-0.006009766,-4.115226337
-0.006009266,-3.950617284
-0.006008766,-3.78600823
-0.006008266,0.24691358
-0.006007766,0.823045267
-0.006007266,0.24691358
-0.006006766,0
-0.006006266,2.551440329
-0.006005766,4.609053498
-0.006005266,4.197530864
-0.006004766,2.386831276
-0.006004266,-0.082304527
-0.006003766,-0.329218107
-0.006003266,4.526748971
-0.006002766,3.456790123
-0.006002266,-0.576131687
-0.006001766,-3.950617284
-0.006001266,-4.032921811
-0.006000766,-3.703703704
-0.006000266,-0.823045267
-0.005999766,3.374485597
-0.005999266,4.444444444
-0.005998766,4.444444444
-0.005998266,2.222222222
-0.005997766,-2.798353909
-0.005997266,-3.950617284
-0.005996766,-3.950617284
-0.005996266,-3.374485597
-0.005995766,-0.576131687
-0.005995266,0.987654321
-0.005994766,1.234567901
-0.005994266,0.987654321
-0.005993766,0.740740741
-0.005993266,0.411522634
-0.005992766,-0.164609053
-0.005992266,0.082304527
-0.005991766,-0.164609053
-0.005991266,-0.164609053
-0.005990766,-0.164609053
-0.005990266,1.316872428
-0.005989766,0.329218107
-0.005989266,0.411522634
-0.005988766,4.362139918
-0.005988266,4.115226337
-0.005987766,-0.24691358
-0.005987266,-0.823045267
-0.005986766,-3.950617284
-0.005986266,-4.032921811
-0.005985766,-3.950617284
-0.005985266,-0.905349794
-0.005984766,0.987654321
-0.005984266,0.24691358
-0.005983766,0.082304527
-0.005983266,1.234567901
-0.005982766,3.621399177
-0.005982266,4.444444444
-0.005981766,4.032921811
-0.005981266,2.222222222
-0.005980766,0.329218107
-0.005980266,3.621399177
-0.005979766,4.444444444
-0.005979266,-0.082304527
-0.005978766,-3.950617284
-0.005978266,-3.621399177
-0.005977766,-4.197530864
-0.005977266,-0.164609053
-0.005976766,1.646090535
-0.005976266,4.279835391
-0.005975766,4.526748971
-0.005975266,3.53909465
-0.005974766,-1.234567901
-0.005974266,-3.868312757
-0.005973766,-4.032921811
-0.005973266,-3.78600823
-0.005972766,-1.399176955
-0.005972266,0.740740741
-0.005971766,1.234567901
-0.005971266,1.069958848
-0.005970766,0.823045267
-0.005970266,1.399176955
-0.005969766,0.987654321
-0.005969266,-0.082304527
-0.005968766,-0.164609053
-0.005968266,-0.164609053
-0.005967766,-0.082304527
-0.005967266,0
-0.005966766,0.082304527
-0.005966266,0.082304527
-0.005965766,4.444444444
-0.005965266,4.444444444
-0.005964766,0.49382716
-0.005964266,-0.987654321
-0.005963766,-2.469135802
-0.005963266,-3.868312757
-0.005962766,-4.032921811
-0.005962266,-2.304526749
-0.005961766,0.987654321
-0.005961266,0.411522634
-0.005960766,0.740740741
-0.005960266,1.563786008
-0.005959766,3.621399177
-0.005959266,4.526748971
-0.005958766,4.444444444
-0.005958266,2.633744856
-0.005957766,-0.164609053
-0.005957266,-0.082304527
-0.005956766,4.444444444
-0.005956266,1.481481481
-0.005955766,-2.057613169
-0.005955266,-3.950617284
-0.005954766,-3.950617284
-0.005954266,-1.399176955
-0.005953766,1.069958848
-0.005953266,4.444444444
-0.005952766,4.444444444
-0.005952266,4.526748971
-0.005951766,0.411522634
-0.005951266,-3.868312757
-0.005950766,-3.950617284
-0.005950266,-4.691358025
-0.005949766,-1.975308642
-0.005949266,0.576131687
-0.005948766,0.987654321
-0.005948266,1.069958848
-0.005947766,1.069958848
-0.005947266,0.49382716
-0.005946766,0.329218107
-0.005946266,0
-0.005945766,-0.164609053
-0.005945266,-0.082304527
-0.005944766,-0.164609053
-0.005944266,0
-0.005943766,0.082304527
-0.005943266,0.082304527
-0.005942766,4.362139918
-0.005942266,4.444444444
-0.005941766,1.646090535
-0.005941266,-0.987654321
-0.005940766,-0.082304527
-0.005940266,-2.716049383
-0.005939766,-3.78600823
